fifa_code,country,region,legacy_year,_1872,_1873,_1874,_1875,_1876,_1877,_1878,_1879,_1880,_1881,_1882,_1883,_1884,_1885,_1886,_1887,_1888,_1889,_1890,_1891,_1892,_1893,_1894,_1895,_1896,_1897,_1898,_1899,_1900,_1901,_1902,_1903,_1904,_1905,_1906,_1907,_1908,_1909,_1910,_1911,_1912,_1913,_1914,_1915,_1916,_1917,_1918,_1919,_1920,_1921,_1922,_1923,_1924,_1925,_1926,_1927,_1928,_1929,_1930,_1931,_1932,_1933,_1934,_1935,_1936,_1937,_1938,_1939,_1940,_1941,_1942,_1943,_1944,_1945,_1946,_1947,_1948,_1949,_1950,_1951,_1952,_1953,_1954,_1955,_1956,_1957,_1958,_1959,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021,_2022,_2023,_2024,_2025,defunct
SUI,:ch: Switzerland@@switzerland,"<span style=""color:#2A6FB5"">Europe</span>",1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,6,3,4,3,1,0,2,2,0,5,4,5,7,10,7,6,4,8,6,7,7,7,9,7,8,8,10,12,7,2,4,6,3,0,5,5,6,7,6,10,6,6,6,9,6,7,5,5,4,6,4,6,5,7,5,8,8,6,6,6,6,5,6,7,7,8,9,5,7,10,8,9,13,8,12,9,9,9,9,9,10,8,8,15,9,10,8,7,11,9,10,8,8,11,11,13,10,13,9,12,9,9,9,12,10,12,9,14,10,7,17,13,10,15,10,0
NED,:nl: Netherlands@@netherlands,"<span style=""color:#2A6FB5"">Europe</span>",1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,2,4,2,8,2,4,0,0,0,0,3,7,5,4,4,9,5,6,5,11,7,6,5,7,6,6,7,5,6,6,6,3,0,0,0,0,0,4,4,6,6,6,4,5,5,8,7,7,8,8,7,8,6,7,7,7,5,7,7,6,6,5,5,5,7,14,7,6,6,14,8,9,8,7,7,4,6,7,8,11,8,12,6,13,7,15,9,11,7,15,9,14,10,7,11,17,11,14,12,15,11,17,11,13,12,17,9,11,11,10,10,8,16,13,10,16,10,0
CZE,:cz: Czechia@@czechia,"<span style=""color:#2A6FB5"">Europe</span>",1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,16,13,10,11,12,12,10,9,15,12,13,10,12,11,8,12,13,10,8,9,14,10,10,10,8,17,10,10,13,10,0
GER,:de: Germany@@germany,"<span style=""color:#2A6FB5"">Europe</span>",1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,8,3,1,0,0,0,0,0,3,3,3,6,7,4,4,3,6,5,6,7,5,6,8,17,11,11,10,14,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,14,11,15,12,16,9,17,13,12,11,18,11,16,15,18,12,16,11,17,13,14,12,16,8,16,15,13,10,8,16,12,11,15,10,0
NOR,:no: Norway@@norway,"<span style=""color:#2A6FB5"">Europe</span>",1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,3,4,3,5,4,4,5,5,4,6,6,4,3,4,5,4,7,5,4,4,4,3,5,9,8,8,7,0,0,0,0,0,3,6,7,5,5,6,7,6,9,10,8,7,11,6,10,6,9,8,8,7,8,7,7,7,11,8,8,7,8,6,8,7,6,7,7,7,9,8,4,11,11,8,9,8,10,11,9,11,10,14,13,7,13,14,13,14,11,10,13,13,16,10,11,8,10,9,9,10,13,12,9,10,9,10,10,6,12,10,10,10,10,0
SWE,:se: Sweden@@sweden,"<span style=""color:#2A6FB5"">Europe</span>",1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,6,6,5,4,5,4,4,8,8,8,6,8,16,7,12,9,8,7,9,7,12,7,7,9,6,8,10,6,4,3,4,5,0,7,5,7,10,8,11,9,11,11,9,9,6,8,10,7,6,8,14,8,8,9,9,8,9,12,11,9,8,11,13,8,10,10,10,12,10,10,9,12,8,8,8,9,10,9,12,9,14,9,19,11,11,10,9,11,12,17,14,14,16,12,15,13,14,13,10,13,13,15,11,12,14,11,16,12,10,16,10,12,11,10,0
DEN,:dk: Denmark@@denmark,"<span style=""color:#2A6FB5"">Europe</span>",1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,3,4,4,4,4,4,3,5,4,4,4,4,5,4,3,4,5,4,4,5,4,4,5,4,6,3,3,2,1,0,5,6,5,8,7,6,5,9,5,5,7,8,10,7,10,7,6,9,12,9,8,9,8,8,12,9,9,12,7,8,8,9,10,8,9,9,9,9,7,13,8,13,6,12,14,11,9,13,10,8,11,10,6,13,11,11,10,13,10,14,10,9,11,9,11,12,10,11,11,9,10,10,9,14,10,8,18,11,10,14,10,0
ITA,:it: Italy@@italy,"<span style=""color:#2A6FB5"">Europe</span>",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,3,4,1,0,0,2,0,6,5,4,4,8,6,6,7,12,4,5,8,6,7,9,4,6,6,8,8,4,0,2,0,0,1,1,4,3,5,5,5,5,4,6,5,6,5,4,4,3,6,7,6,4,9,10,6,6,6,11,6,8,8,8,7,9,7,14,5,12,8,13,7,9,7,11,10,11,10,14,9,9,8,16,9,9,12,11,9,14,9,13,11,13,13,16,10,13,15,12,12,14,18,12,10,15,10,11,10,8,19,11,10,14,10,0
FIN,:fi: Finland@@finland,"<span style=""color:#2A6FB5"">Europe</span>",1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,2,2,4,3,7,6,8,6,4,4,7,5,5,6,5,6,6,5,6,6,7,3,1,0,2,0,2,3,5,5,6,5,6,7,6,5,5,6,9,4,6,5,6,3,3,7,7,7,7,6,7,5,7,6,5,6,6,9,8,8,10,9,9,9,5,11,10,11,5,11,13,9,7,9,15,14,11,9,10,10,10,13,13,11,14,13,13,12,10,9,11,9,10,10,12,10,9,11,10,11,12,8,15,10,12,10,10,0
LUX,:lu: Luxembourg@@luxembourg,"<span style=""color:#2A6FB5"">Europe</span>",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,3,1,3,2,3,1,1,0,0,0,0,1,4,1,2,3,1,2,1,3,1,0,1,4,0,1,1,3,1,5,3,3,2,4,2,6,4,6,4,5,2,4,3,4,2,5,7,6,3,5,10,6,3,7,4,5,2,5,3,6,4,8,5,5,5,7,6,9,8,9,9,7,10,11,9,8,8,10,8,10,7,10,7,9,10,11,8,12,10,11,10,10,0
RUS,:ru: Russia@@russia,"<span style=""color:#6BAFE5"">Ex-USSR</span>",1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,10,15,11,11,9,7,11,12,10,11,10,7,10,13,10,7,11,13,10,13,9,12,11,15,10,8,15,3,6,5,10,0
CHI,:cl: Chile@@chile,"<span style=""color:#8B2424"">LatAm</span>",1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,2,2,0,3,0,3,0,4,1,2,0,3,0,0,0,0,3,1,4,0,6,0,4,5,0,0,6,5,7,0,7,7,0,5,9,6,7,11,12,0,9,12,8,8,2,2,11,14,9,7,10,3,10,9,10,9,6,2,8,0,13,4,13,7,15,2,19,1,8,12,21,2,13,0,9,8,12,12,17,14,12,17,15,1,10,12,9,9,19,14,15,16,17,11,14,14,15,15,14,10,13,4,18,11,10,12,10,0
USA,:us: United States@@united states,"<span style=""color:#E04E2A"">NA/Carib</span>",1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,1,0,3,0,4,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,4,3,0,1,1,4,1,0,4,0,1,2,1,0,0,1,6,0,0,9,2,0,0,4,12,2,5,10,9,3,5,6,0,1,1,11,8,2,10,15,12,23,17,20,33,24,14,15,17,16,13,16,15,20,14,14,20,15,17,14,24,14,16,14,23,15,20,19,17,11,18,4,21,16,18,14,17,0
ESP,:es: Spain@@spain,"<span style=""color:#2A6FB5"">Europe</span>",1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,3,3,5,1,3,4,3,4,4,1,4,5,3,4,0,0,0,0,3,3,0,0,2,1,2,3,5,8,3,4,4,3,5,1,7,4,5,8,7,6,5,5,5,6,5,7,6,5,6,6,6,5,4,3,6,12,6,11,13,10,7,13,9,12,7,13,8,11,8,9,9,15,9,11,6,10,10,14,9,13,11,13,12,14,12,16,16,17,12,16,17,12,9,15,10,14,10,8,18,13,10,17,10,0
TCH,💀 Czechoslovakia@@czechoslovakia,"<span style=""color:#2A6FB5"">Europe</span>",1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,5,3,8,11,5,8,8,8,7,7,10,6,6,11,9,0,0,0,0,0,0,0,5,6,7,7,5,2,5,9,3,5,10,7,10,6,6,8,11,6,5,7,6,7,4,6,9,7,9,6,11,10,11,10,10,9,16,12,11,8,6,8,9,7,11,8,13,12,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NIR,:gb-nir: Northern Ireland@@northern ireland,"<span style=""color:#2A6FB5"">Europe</span>",1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,3,3,3,4,3,3,5,3,3,1,4,3,3,3,1,0,0,0,0,0,1,4,3,3,3,3,4,4,3,3,3,3,7,10,3,4,7,6,5,6,7,5,3,4,5,4,7,5,8,5,7,6,8,6,8,9,6,12,9,6,6,9,5,7,5,5,6,6,8,7,8,7,9,6,8,7,8,6,8,11,10,8,9,8,9,8,10,7,8,7,10,13,9,9,10,8,12,8,10,10,10,0
POL,:pl: Poland@@poland,"<span style=""color:#2A6FB5"">Europe</span>",1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,6,1,3,0,2,5,4,4,6,6,6,6,9,4,0,0,0,0,0,0,0,8,7,6,5,1,6,4,2,3,7,7,6,8,7,7,9,6,5,9,12,7,8,8,10,6,10,16,17,10,11,13,14,11,18,9,10,6,13,15,11,11,10,13,16,14,11,13,11,9,9,13,10,12,10,11,13,15,13,14,16,13,16,13,13,13,14,12,9,8,14,8,13,10,8,15,13,10,13,10,0
YUG,💀 Yugoslavia@@yugoslavia,"<span style=""color:#2A6FB5"">Europe</span>",1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,4,6,5,5,10,8,8,8,9,6,4,7,7,7,5,1,0,0,0,0,5,6,6,9,11,5,9,7,11,7,15,7,8,8,12,12,12,6,10,7,10,6,13,6,9,8,14,6,12,6,9,12,5,6,7,6,6,9,9,10,5,7,9,11,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ROU,:ro: Romania@@romania,"<span style=""color:#2A6FB5"">Europe</span>",1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,2,2,4,6,5,5,3,5,7,4,8,6,5,5,2,3,1,0,1,3,7,6,4,3,1,4,4,2,6,4,6,3,4,3,2,5,7,4,6,9,11,5,7,10,8,11,5,9,12,6,9,10,8,9,10,12,15,12,10,11,9,9,8,15,10,8,10,17,8,11,8,14,11,15,12,8,10,9,10,10,12,11,10,9,14,10,11,8,7,13,9,10,10,7,12,10,10,13,10,0
EST,:ee: Estonia@@estonia,"<span style=""color:#2A6FB5"">Europe</span> &bull; <span style=""color:#6BAFE5"">Ex-USSR</span>",1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,5,5,5,6,6,7,7,8,2,8,5,9,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,14,11,12,12,16,14,16,11,13,11,17,15,12,7,14,14,13,13,14,13,13,12,10,14,13,12,12,8,13,10,12,12,10,0
LTU,:lt: Lithuania@@lithuania,"<span style=""color:#2A6FB5"">Europe</span> &bull; <span style=""color:#6BAFE5"">Ex-USSR</span>",1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,2,3,2,3,5,7,7,4,6,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,13,8,12,10,11,12,10,9,10,8,11,8,9,8,11,12,9,8,8,10,9,10,8,9,7,12,10,8,13,10,10,10,10,0
